name	country	birth	position	foot	height	hmv
yuzún ley	Spain	2004-01-18 00:00:00	Defender	right	180	<null>
yuzún ley	Spain	2004-01-18 00:00:00	Defender	right	180	<null>
yuzún ley	Spain	2004-01-18 00:00:00	Defender	right	180	<null>
yuzún ley	Spain	2004-01-18 00:00:00	Defender	right	180	<null>
yuzo kurihara	<null>	<null>	<null>	<null>	<null>	<null>
yuya osako	Japan	1990-05-18 00:00:00	Attack	right	184	6000000
yuya osako	<null>	<null>	<null>	<null>	<null>	<null>
yuya osako	Japan	1990-05-18 00:00:00	Attack	right	184	6000000
yuya osako	<null>	<null>	<null>	<null>	<null>	<null>
yuya osako	Japan	1990-05-18 00:00:00	Attack	right	184	6000000
yuya osako	<null>	<null>	<null>	<null>	<null>	<null>
yuya osako	Japan	1990-05-18 00:00:00	Attack	right	184	6000000
yuya kubo	Japan	1993-12-24 00:00:00	Midfield	right	178	5000000
yuya kubo	Japan	1993-12-24 00:00:00	Midfield	right	178	5000000
yuya kubo	Japan	1993-12-24 00:00:00	Midfield	right	178	5000000
yuya kubo	<null>	<null>	<null>	<null>	<null>	<null>
yuya kubo	Japan	1993-12-24 00:00:00	Midfield	right	178	5000000
yuto nagatomo	Japan	1986-09-12 00:00:00	Defender	both	170	14000000
yuto nagatomo	<null>	<null>	<null>	<null>	<null>	<null>
yuto nagatomo	Japan	1986-09-12 00:00:00	Defender	both	170	14000000
yuto nagatomo	<null>	<null>	<null>	<null>	<null>	<null>
yuto nagatomo	Japan	1986-09-12 00:00:00	Defender	both	170	14000000
yuto nagatomo	<null>	<null>	<null>	<null>	<null>	<null>
yuto nagatomo	Japan	1986-09-12 00:00:00	Defender	both	170	14000000
yutaka akita	<null>	<null>	<null>	<null>	<null>	<null>
yusuf yazıcı	Türkiye	1997-01-29 00:00:00	Midfield	left	184	20000000
yusuf yazıcı	Türkiye	1997-01-29 00:00:00	Midfield	left	184	20000000
yusuf yazıcı	Türkiye	1997-01-29 00:00:00	Midfield	left	184	20000000
yusuf yazıcı	<null>	<null>	<null>	<null>	<null>	<null>
yusuf yazıcı	Türkiye	1997-01-29 00:00:00	Midfield	left	184	20000000
yusuf yardimci	Turkey	2005-03-01 00:00:00	Midfield	right	181	<null>
yusuf yardimci	Turkey	2005-03-01 00:00:00	Midfield	right	181	<null>
yusuf yardimci	Turkey	2005-03-01 00:00:00	Midfield	right	181	<null>
yusuf yardimci	Turkey	2005-03-01 00:00:00	Midfield	right	181	<null>
