name	country	birth	position	foot	height	hmv
zlatko yankov	<null>	<null>	<null>	<null>	<null>	<null>
zlatko vujović	<null>	<null>	<null>	<null>	<null>	<null>
zlatko vujovic	Yugoslavia	<null>	<null>	<null>	<null>	<null>
zlatko kranjčar	<null>	<null>	<null>	<null>	<null>	<null>
zlatko junuzović	<null>	<null>	<null>	<null>	<null>	<null>
zlatko junuzovic	Austria	1987-09-26 00:00:00	Midfield	right	172	7000000
zlatko junuzovic	<null>	<null>	<null>	<null>	<null>	<null>
zlatko junuzovic	Austria	1987-09-26 00:00:00	Midfield	right	172	7000000
zlatko junuzovic	<null>	<null>	<null>	<null>	<null>	<null>
zlatko junuzovic	Austria	1987-09-26 00:00:00	Midfield	right	172	7000000
zlatko junuzovic	Austria	1987-09-26 00:00:00	Midfield	right	172	7000000
zlatko dedić	<null>	<null>	<null>	<null>	<null>	<null>
zlatan muslimović	<null>	<null>	<null>	<null>	<null>	<null>
zlatan ljubijankić	<null>	<null>	<null>	<null>	<null>	<null>
zlatan ibrahimović	Sweden	1981-10-03 00:00:00	Attack	right	195	46000000
zlatan ibrahimović	Sweden	<null>	<null>	<null>	<null>	<null>
zlatan ibrahimović	Sweden	1981-10-03 00:00:00	Attack	right	195	46000000
zlatan ibrahimović	Sweden	1981-10-03 00:00:00	Attack	right	195	46000000
zlatan ibrahimović	<null>	<null>	<null>	<null>	<null>	<null>
zlatan ibrahimović	Sweden	1981-10-03 00:00:00	Attack	right	195	46000000
zlatan ibrahimovic	<null>	<null>	<null>	<null>	<null>	<null>
zlatan ibrahimovic	<null>	<null>	<null>	<null>	<null>	<null>
zlatan bajramović	<null>	<null>	<null>	<null>	<null>	<null>
zizo	Egypt	1996-01-10 00:00:00	Attack	right	180	5000000
zizo	Egypt	1996-01-10 00:00:00	Attack	right	180	5000000
zizo	Egypt	1996-01-10 00:00:00	Attack	right	180	5000000
zizo	Egypt	1996-01-10 00:00:00	Attack	right	180	5000000
zizinho	<null>	<null>	<null>	<null>	<null>	<null>
zizi roberts	<null>	<null>	<null>	<null>	<null>	<null>
